time = 0.000000000000e+00, iter = 0, dt = 1.000000e-09
time = 0.000000000000e+00, iter = 1, dt = 1.000000e-09
time = 2.000000000000e-09, iter = 0, dt = 2.000000e-09
time = 2.000000000000e-09, iter = 1, dt = 2.000000e-09
time = 6.000000000000e-09, iter = 0, dt = 4.000000e-09
time = 6.000000000000e-09, iter = 1, dt = 4.000000e-09
time = 1.400000000000e-08, iter = 0, dt = 8.000000e-09
time = 1.400000000000e-08, iter = 1, dt = 8.000000e-09
time = 3.000000000000e-08, iter = 0, dt = 1.600000e-08
time = 3.000000000000e-08, iter = 1, dt = 1.600000e-08
time = 6.200000000000e-08, iter = 0, dt = 3.200000e-08
time = 6.200000000000e-08, iter = 1, dt = 3.200000e-08
time = 1.260000000000e-07, iter = 0, dt = 6.400000e-08
time = 1.260000000000e-07, iter = 1, dt = 6.400000e-08
time = 2.540000000000e-07, iter = 0, dt = 1.280000e-07
time = 2.540000000000e-07, iter = 1, dt = 1.280000e-07
time = 3.820000000000e-07, iter = 0, dt = 1.280000e-07
time = 3.820000000000e-07, iter = 1, dt = 1.280000e-07
time = 6.380000000000e-07, iter = 0, dt = 2.560000e-07
time = 6.380000000000e-07, iter = 1, dt = 2.560000e-07
time = 8.940000000000e-07, iter = 0, dt = 2.560000e-07
time = 8.940000000000e-07, iter = 1, dt = 2.560000e-07
time = 1.150000000000e-06, iter = 0, dt = 2.560000e-07
time = 1.150000000000e-06, iter = 1, dt = 2.560000e-07
time = 1.406000000000e-06, iter = 0, dt = 2.560000e-07
time = 1.406000000000e-06, iter = 1, dt = 2.560000e-07
time = 1.662000000000e-06, iter = 0, dt = 2.560000e-07
time = 1.662000000000e-06, iter = 1, dt = 2.560000e-07
time = 1.918000000000e-06, iter = 0, dt = 2.560000e-07
time = 1.918000000000e-06, iter = 1, dt = 2.560000e-07
time = 2.174000000000e-06, iter = 0, dt = 2.560000e-07
time = 2.174000000000e-06, iter = 1, dt = 2.560000e-07
time = 2.174000000000e-06, iter = 2, dt = 2.560000e-07
time = 2.430000000000e-06, iter = 0, dt = 2.560000e-07
time = 2.430000000000e-06, iter = 1, dt = 2.560000e-07
time = 2.430000000000e-06, iter = 2, dt = 2.560000e-07
time = 2.686000000000e-06, iter = 0, dt = 2.560000e-07
time = 2.686000000000e-06, iter = 1, dt = 2.560000e-07
time = 2.686000000000e-06, iter = 2, dt = 2.560000e-07
time = 2.942000000000e-06, iter = 0, dt = 2.560000e-07
time = 2.942000000000e-06, iter = 1, dt = 2.560000e-07
time = 2.942000000000e-06, iter = 2, dt = 2.560000e-07
time = 2.942000000000e-06, iter = 3, dt = 2.560000e-07
time = 2.942000000000e-06, iter = 4, dt = 2.560000e-07
time = 3.198000000000e-06, iter = 0, dt = 2.560000e-07
time = 3.198000000000e-06, iter = 1, dt = 2.560000e-07
time = 3.198000000000e-06, iter = 2, dt = 2.560000e-07
time = 3.198000000000e-06, iter = 3, dt = 2.560000e-07
time = 3.198000000000e-06, iter = 4, dt = 2.560000e-07
time = 3.198000000000e-06, iter = 5, dt = 1.280000e-07
time = 3.198000000000e-06, iter = 0, dt = 6.400000e-08
time = 3.198000000000e-06, iter = 1, dt = 6.400000e-08
time = 3.198000000000e-06, iter = 2, dt = 6.400000e-08
time = 3.198000000000e-06, iter = 3, dt = 6.400000e-08
time = 3.262000000000e-06, iter = 0, dt = 6.400000e-08
time = 3.262000000000e-06, iter = 1, dt = 6.400000e-08
time = 3.262000000000e-06, iter = 2, dt = 6.400000e-08
time = 3.390000000000e-06, iter = 0, dt = 1.280000e-07
time = 3.390000000000e-06, iter = 1, dt = 1.280000e-07
time = 3.390000000000e-06, iter = 2, dt = 1.280000e-07
time = 3.390000000000e-06, iter = 3, dt = 1.280000e-07
time = 3.518000000000e-06, iter = 0, dt = 1.280000e-07
time = 3.518000000000e-06, iter = 1, dt = 1.280000e-07
time = 3.518000000000e-06, iter = 2, dt = 1.280000e-07
time = 3.518000000000e-06, iter = 3, dt = 1.280000e-07
time = 3.646000000000e-06, iter = 0, dt = 1.280000e-07
time = 3.646000000000e-06, iter = 1, dt = 1.280000e-07
time = 3.646000000000e-06, iter = 2, dt = 1.280000e-07
time = 3.646000000000e-06, iter = 3, dt = 1.280000e-07
time = 3.774000000000e-06, iter = 0, dt = 1.280000e-07
time = 3.774000000000e-06, iter = 1, dt = 1.280000e-07
time = 3.774000000000e-06, iter = 2, dt = 1.280000e-07
time = 3.774000000000e-06, iter = 3, dt = 1.280000e-07
time = 3.902000000000e-06, iter = 0, dt = 1.280000e-07
time = 3.902000000000e-06, iter = 1, dt = 1.280000e-07
time = 3.902000000000e-06, iter = 2, dt = 1.280000e-07
time = 3.902000000000e-06, iter = 3, dt = 1.280000e-07
time = 4.030000000000e-06, iter = 0, dt = 1.280000e-07
time = 4.030000000000e-06, iter = 1, dt = 1.280000e-07
time = 4.030000000000e-06, iter = 2, dt = 1.280000e-07
time = 4.286000000000e-06, iter = 0, dt = 2.560000e-07
time = 4.286000000000e-06, iter = 1, dt = 2.560000e-07
time = 4.286000000000e-06, iter = 2, dt = 2.560000e-07
time = 4.286000000000e-06, iter = 3, dt = 2.560000e-07
time = 4.542000000000e-06, iter = 0, dt = 2.560000e-07
time = 4.542000000000e-06, iter = 1, dt = 2.560000e-07
time = 4.542000000000e-06, iter = 2, dt = 2.560000e-07
time = 4.542000000000e-06, iter = 3, dt = 2.560000e-07
time = 4.798000000000e-06, iter = 0, dt = 2.560000e-07
time = 4.798000000000e-06, iter = 1, dt = 2.560000e-07
time = 4.798000000000e-06, iter = 2, dt = 2.560000e-07
time = 4.798000000000e-06, iter = 3, dt = 2.560000e-07
time = 5.310000000000e-06, iter = 0, dt = 5.120000e-07
time = 5.310000000000e-06, iter = 1, dt = 5.120000e-07
time = 5.310000000000e-06, iter = 2, dt = 5.120000e-07
time = 5.310000000000e-06, iter = 3, dt = 5.120000e-07
time = 5.822000000000e-06, iter = 0, dt = 5.120000e-07
time = 5.822000000000e-06, iter = 1, dt = 5.120000e-07
time = 5.822000000000e-06, iter = 2, dt = 5.120000e-07
time = 5.822000000000e-06, iter = 3, dt = 5.120000e-07
time = 6.334000000000e-06, iter = 0, dt = 5.120000e-07
time = 6.334000000000e-06, iter = 1, dt = 5.120000e-07
time = 6.334000000000e-06, iter = 2, dt = 5.120000e-07
time = 6.334000000000e-06, iter = 3, dt = 5.120000e-07
time = 7.358000000000e-06, iter = 0, dt = 1.024000e-06
time = 7.358000000000e-06, iter = 1, dt = 1.024000e-06
time = 7.358000000000e-06, iter = 2, dt = 1.024000e-06
time = 7.358000000000e-06, iter = 3, dt = 1.024000e-06
time = 8.382000000000e-06, iter = 0, dt = 1.024000e-06
time = 8.382000000000e-06, iter = 1, dt = 1.024000e-06
time = 8.382000000000e-06, iter = 2, dt = 1.024000e-06
time = 8.382000000000e-06, iter = 3, dt = 1.024000e-06
time = 9.406000000000e-06, iter = 0, dt = 1.024000e-06
time = 9.406000000000e-06, iter = 1, dt = 1.024000e-06
time = 9.406000000000e-06, iter = 2, dt = 1.024000e-06
time = 9.406000000000e-06, iter = 3, dt = 1.024000e-06
time = 1.145400000000e-05, iter = 0, dt = 2.048000e-06
time = 1.145400000000e-05, iter = 1, dt = 2.048000e-06
time = 1.145400000000e-05, iter = 2, dt = 2.048000e-06
time = 1.145400000000e-05, iter = 3, dt = 2.048000e-06
time = 1.350200000000e-05, iter = 0, dt = 2.048000e-06
time = 1.350200000000e-05, iter = 1, dt = 2.048000e-06
time = 1.350200000000e-05, iter = 2, dt = 2.048000e-06
time = 1.350200000000e-05, iter = 3, dt = 2.048000e-06
time = 1.555000000000e-05, iter = 0, dt = 2.048000e-06
time = 1.555000000000e-05, iter = 1, dt = 2.048000e-06
time = 1.555000000000e-05, iter = 2, dt = 2.048000e-06
time = 1.964600000000e-05, iter = 0, dt = 4.096000e-06
time = 1.964600000000e-05, iter = 1, dt = 4.096000e-06
time = 1.964600000000e-05, iter = 2, dt = 4.096000e-06
time = 2.374200000000e-05, iter = 0, dt = 4.096000e-06
time = 2.374200000000e-05, iter = 1, dt = 4.096000e-06
time = 2.783800000000e-05, iter = 0, dt = 4.096000e-06
time = 2.783800000000e-05, iter = 1, dt = 4.096000e-06
time = 2.783800000000e-05, iter = 2, dt = 4.096000e-06
time = 3.193400000000e-05, iter = 0, dt = 4.096000e-06
time = 3.193400000000e-05, iter = 1, dt = 4.096000e-06
time = 3.193400000000e-05, iter = 2, dt = 4.096000e-06
time = 3.603000000000e-05, iter = 0, dt = 4.096000e-06
time = 3.603000000000e-05, iter = 1, dt = 4.096000e-06
time = 3.603000000000e-05, iter = 2, dt = 4.096000e-06
time = 3.603000000000e-05, iter = 3, dt = 4.096000e-06
time = 4.422200000000e-05, iter = 0, dt = 8.192000e-06
time = 4.422200000000e-05, iter = 1, dt = 8.192000e-06
time = 4.422200000000e-05, iter = 2, dt = 8.192000e-06
time = 4.422200000000e-05, iter = 3, dt = 8.192000e-06
time = 5.241400000000e-05, iter = 0, dt = 8.192000e-06
time = 5.241400000000e-05, iter = 1, dt = 8.192000e-06
time = 6.060600000000e-05, iter = 0, dt = 8.192000e-06
time = 6.060600000000e-05, iter = 1, dt = 8.192000e-06
time = 6.060600000000e-05, iter = 2, dt = 8.192000e-06
time = 6.879800000000e-05, iter = 0, dt = 8.192000e-06
time = 6.879800000000e-05, iter = 1, dt = 8.192000e-06
time = 6.879800000000e-05, iter = 2, dt = 8.192000e-06
time = 8.518200000000e-05, iter = 0, dt = 1.638400e-05
time = 8.518200000000e-05, iter = 1, dt = 1.638400e-05
time = 8.518200000000e-05, iter = 2, dt = 1.638400e-05
time = 1.015660000000e-04, iter = 0, dt = 1.638400e-05
time = 1.015660000000e-04, iter = 1, dt = 1.638400e-05
time = 1.015660000000e-04, iter = 2, dt = 1.638400e-05
time = 1.343340000000e-04, iter = 0, dt = 3.276800e-05
time = 1.343340000000e-04, iter = 1, dt = 3.276800e-05
time = 1.343340000000e-04, iter = 2, dt = 3.276800e-05
time = 1.671020000000e-04, iter = 0, dt = 3.276800e-05
time = 1.671020000000e-04, iter = 1, dt = 3.276800e-05
time = 1.671020000000e-04, iter = 2, dt = 3.276800e-05
time = 2.326380000000e-04, iter = 0, dt = 6.553600e-05
time = 2.326380000000e-04, iter = 1, dt = 6.553600e-05
time = 2.326380000000e-04, iter = 2, dt = 6.553600e-05
time = 2.326380000000e-04, iter = 3, dt = 6.553600e-05
time = 3.637100000000e-04, iter = 0, dt = 1.310720e-04
time = 3.637100000000e-04, iter = 1, dt = 1.310720e-04
time = 3.637100000000e-04, iter = 2, dt = 1.310720e-04
time = 3.637100000000e-04, iter = 3, dt = 1.310720e-04
time = 4.947820000000e-04, iter = 0, dt = 1.310720e-04
time = 4.947820000000e-04, iter = 1, dt = 1.310720e-04
time = 4.947820000000e-04, iter = 2, dt = 1.310720e-04
time = 4.947820000000e-04, iter = 3, dt = 1.310720e-04
time = 7.569260000000e-04, iter = 0, dt = 2.621440e-04
time = 7.569260000000e-04, iter = 1, dt = 2.621440e-04
time = 7.569260000000e-04, iter = 2, dt = 2.621440e-04
time = 7.569260000000e-04, iter = 3, dt = 2.621440e-04
time = 1.019070000000e-03, iter = 0, dt = 2.621440e-04
time = 1.019070000000e-03, iter = 1, dt = 2.621440e-04
time = 1.019070000000e-03, iter = 2, dt = 2.621440e-04
time = 1.019070000000e-03, iter = 3, dt = 2.621440e-04
time = 1.543358000000e-03, iter = 0, dt = 5.242880e-04
time = 1.543358000000e-03, iter = 1, dt = 5.242880e-04
time = 1.543358000000e-03, iter = 2, dt = 5.242880e-04
time = 1.543358000000e-03, iter = 3, dt = 5.242880e-04
time = 1.543358000000e-03, iter = 4, dt = 5.242880e-04
time = 1.543358000000e-03, iter = 5, dt = 2.621440e-04
